name,risk_pct,blocked_sessions,session_rr,rr_default,one_at_a_time,h1_filter,cooldown,time_exit_min,atr_sl_mult,blocked_days,return_pct,net_profit,total_trades,win_rate,profit_factor,max_drawdown,max_drawdown_pct,avg_win,avg_loss,avg_r_multiple,max_consecutive_losses,best_trade,worst_trade
A3_H1True_CD2_TE0_SL1.0,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,True,2,0,1.0,[],-9.04,-903.59,1130,31.86,0.99,8356.17,64.89,298.16,140.57,0.0287,22,577.6,-255.62
A1_R5_BUS_1atFalse,5,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,True,2,210,1.5,[],-9.33,-933.06,1116,34.95,0.99,10725.32,61.9,402.4,217.45,0.0819,26,1694.14,-865.2
A3_H1False_CD2_TE360_SL1.0,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,False,2,360,1.0,[],-10.96,-1095.59,1723,32.21,1.0,21341.02,88.39,435.34,207.8,0.0302,18,1045.59,-482.53
A3_H1False_CD0_TE360_SL1.0,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,False,0,360,1.0,[],-11.15,-1114.86,1931,32.21,1.0,31251.38,91.19,499.89,238.39,0.0292,21,1352.16,-685.07
A3_H1False_CD2_TE120_SL1.0,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,False,2,120,1.0,[],-13.95,-1394.78,1734,33.1,0.99,20151.96,88.77,390.39,194.38,0.0284,20,992.85,-453.6
A3_H1False_CD0_TE120_SL1.0,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,False,0,120,1.0,[],-14.52,-1451.64,1931,33.14,1.0,29697.51,90.84,467.8,233.03,0.0275,21,1311.94,-653.8
A3_H1True_CD2_TE360_SL1.0,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,True,2,360,1.0,[],-14.95,-1494.78,1130,31.86,0.99,8508.95,70.42,285.93,135.62,0.0258,22,541.88,-241.31
A3_H1True_CD4_TE120_SL1.0,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,True,4,120,1.0,[],-22.5,-2249.87,1069,32.74,0.98,8867.94,78.93,267.96,133.57,0.0205,28,534.09,-224.28
A1_R5_BUS_1atTrue,5,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,True,True,2,210,1.5,[],-26.36,-2635.59,643,33.75,0.97,10131.51,84.44,472.03,246.63,0.0431,16,1205.61,-597.56
A3_H1True_CD4_TE210_SL1.0,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,True,4,210,1.0,[],-26.98,-2698.15,1061,31.76,0.97,8185.46,79.99,253.47,121.71,0.0184,28,472.11,-203.74
A3_H1True_CD4_TE0_SL1.0,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,True,4,0,1.0,[],-28.51,-2850.8,1061,31.48,0.97,8528.25,80.5,260.54,123.62,0.0173,28,481.04,-211.47
A3_H1True_CD4_TE360_SL1.0,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,True,4,360,1.0,[],-33.26,-3326.29,1061,31.48,0.96,8653.8,81.69,249.13,119.03,0.0141,28,481.04,-211.47
