name,risk_pct,blocked_sessions,session_rr,rr_default,one_at_a_time,h1_filter,cooldown,time_exit_min,atr_sl_mult,blocked_days,return_pct,net_profit,total_trades,win_rate,profit_factor,max_drawdown,max_drawdown_pct,avg_win,avg_loss,avg_r_multiple,max_consecutive_losses,best_trade,worst_trade
A3_H1True_CD0_TE120_SL1.5,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,True,0,120,1.5,[],139.51,13950.95,1187,37.74,1.08,11884.34,39.93,398.37,222.62,0.0695,26,1362.95,-594.65
A2_EU2.0_AS1.5,2,['US'],"{'EUROPE': 2.0, 'ASIA': 1.5}",2.0,False,True,2,210,1.5,[],138.45,13844.83,1127,39.66,1.07,18601.15,64.92,470.22,288.74,0.0664,23,1068.17,-572.5
A2_EU2.0_AS2.5,2,['US'],"{'EUROPE': 2.0, 'ASIA': 2.5}",2.0,False,True,2,210,1.5,[],137.12,13712.33,1117,35.36,1.07,15219.01,51.47,520.28,265.65,0.0737,27,1343.17,-590.76
A1_R5_BUS+ASIA_1atTrue,5,"['US', 'ASIA']","{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,True,True,2,210,1.5,[],134.14,13413.8,308,32.79,1.14,13790.49,54.0,1093.59,468.78,0.1134,17,2830.73,-1274.52
A2_EU2.0_AS2.0,2,['US'],"{'EUROPE': 2.0, 'ASIA': 2.0}",2.0,False,True,2,210,1.5,[],124.62,12461.83,1118,36.94,1.07,12357.38,46.98,435.08,237.2,0.0672,26,973.3,-525.6
A1_R1_BUS+ASIA_1atFalse,1,"['US', 'ASIA']","{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,True,2,210,1.5,[],119.63,11963.47,544,34.38,1.29,4708.11,21.01,286.64,116.64,0.1664,26,538.39,-223.53
A3_H1False_CD0_TE0_SL2.0,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,False,0,0,2.0,[],119.31,11931.18,1931,32.73,1.04,18173.14,60.42,500.97,234.55,0.0614,25,1305.46,-600.84
A4_BD134,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,True,2,210,1.5,"[1, 3, 4]",98.37,9836.61,402,36.82,1.12,9598.02,34.71,632.5,329.82,0.1183,15,1221.93,-552.81
A1_R1_BUS_1atFalse,1,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,True,2,210,1.5,[],98.29,9828.67,1116,34.95,1.12,5548.31,25.07,230.9,110.5,0.0793,26,524.01,-220.8
A3_H1False_CD2_TE120_SL1.5,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,False,2,120,1.5,[],97.26,9725.66,1722,36.93,1.03,20058.12,68.94,462.62,261.97,0.0534,21,1292.14,-581.56
A3_H1False_CD4_TE0_SL2.0,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,False,4,0,2.0,[],96.63,9663.01,1542,32.81,1.05,12820.06,43.12,426.26,198.87,0.0603,20,1292.36,-594.0
A3_H1False_CD2_TE120_SL2.0,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,False,2,120,2.0,[],81.04,8103.52,1717,40.13,1.03,18434.72,64.37,419.73,273.44,0.0476,16,1330.43,-570.96
A3_H1False_CD4_TE210_SL2.0,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,False,4,210,2.0,[],77.99,7798.79,1538,36.61,1.04,14005.01,52.41,409.35,228.37,0.0542,19,1201.69,-534.42
A3_H1False_CD0_TE120_SL1.5,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,False,0,120,1.5,[],74.73,7472.73,1931,36.61,1.02,20493.13,82.19,481.96,272.28,0.0484,24,1131.98,-498.36
A4_BD04,2,['US'],"{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,False,True,2,210,1.5,"[0, 4]",71.8,7180.34,657,34.7,1.09,5904.22,28.39,378.66,184.51,0.0769,22,980.84,-415.32
A1_R2_BUS+ASIA_1atTrue,2,"['US', 'ASIA']","{'EUROPE': 2.5, 'ASIA': 2.0}",2.0,True,True,2,210,1.5,[],69.93,6992.69,308,32.79,1.16,5850.77,33.36,499.32,209.85,0.1109,17,827.09,-349.31
