name,risk_pct,rr,atr_sl,time_exit,cooldown,allowed_hours,blocked_days,return_pct,net_profit,total_trades,win_rate,profit_factor,max_drawdown_pct,avg_r_multiple,max_consecutive_losses
R7_RR2.0_SL2.0_TE210_CD4_BHnone_BD24,7,2.0,2.0,210,4,all,"[2, 4]",1798.66,179866.38,323,43.03,1.51,29.95,0.1936,11
R5_RR2.5_SL1.5_TE0_CD2_BHnone_BD24,5,2.5,1.5,0,2,all,"[2, 4]",1796.91,179690.79,338,37.28,1.69,22.52,0.2461,16
R5_RR3.5_SL2.0_TE210_CD0_BHnone_BD24,5,3.5,2.0,210,0,all,"[2, 4]",1794.28,179427.76,355,36.34,1.63,23.5,0.2707,17
R5_RR2.0_SL1.5_TE120_CD4_BH9_BDnone,5,2.0,1.5,120,4,"[8, 10, 11, 12, 13]",[],1794.26,179425.98,447,44.74,1.48,18.15,0.1743,18
R3_RR3.0_SL2.0_TE360_CD2_BH9_BD24,3,3.0,2.0,360,2,"[8, 10, 11, 12, 13]","[2, 4]",1791.52,179151.72,285,37.19,1.93,17.27,0.423,11
R3_RR2.0_SL2.0_TE210_CD4_BH9_BD2,3,2.0,2.0,210,4,"[8, 10, 11, 12, 13]",[2],1791.14,179114.43,374,45.72,1.75,12.42,0.3058,13
R5_RR2.5_SL2.5_TE210_CD4_BH913_BDnone,5,2.5,2.5,210,4,"[8, 10, 11, 12]",[],1783.57,178357.08,339,44.84,1.69,19.2,0.2483,12
R5_RR3.5_SL2.5_TE0_CD2_BH913_BD2,5,3.5,2.5,0,2,"[8, 10, 11, 12]",[2],1779.07,177906.9,301,30.23,1.61,22.9,0.3405,14
R3_RR2.5_SL2.0_TE360_CD2_BH9_BD24,3,2.5,2.0,360,2,"[8, 10, 11, 12, 13]","[2, 4]",1778.38,177838.29,287,41.81,2.0,15.99,0.4059,11
R7_RR3.5_SL2.5_TE0_CD4_BH913_BDnone,7,3.5,2.5,0,4,"[8, 10, 11, 12]",[],1759.47,175947.47,339,29.5,1.39,35.0,0.2859,16
R3_RR3.5_SL2.0_TE360_CD0_BH913_BD24,3,3.5,2.0,360,0,"[8, 10, 11, 12]","[2, 4]",1752.13,175212.57,231,35.93,2.32,8.34,0.5311,13
R5_RR2.0_SL1.5_TE120_CD2_BH89_BD2,5,2.0,1.5,120,2,"[10, 11, 12, 13]",[2],1746.3,174629.75,312,46.79,1.64,17.32,0.2248,9
R5_RR2.0_SL2.0_TE360_CD2_BH913_BDnone,5,2.0,2.0,360,2,"[8, 10, 11, 12]",[],1744.96,174496.03,361,42.94,1.6,15.28,0.2289,16
R5_RR2.5_SL1.5_TE0_CD4_BH913_BDnone,5,2.5,1.5,0,4,"[8, 10, 11, 12]",[],1741.82,174181.72,351,37.32,1.68,14.64,0.2466,18
R5_RR2.0_SL2.0_TE210_CD0_BH9_BD24,5,2.0,2.0,210,0,"[8, 10, 11, 12, 13]","[2, 4]",1739.54,173953.56,293,45.39,1.65,26.19,0.2547,10
