time,open,high,low,close,tick_volume,spread,real_volume
2020-12-31 00:00:00,3731.64,3759.14,3721.39,3754.89,23325,0,0
2021-01-04 00:00:00,3758.05,3779.8,3659.05,3702.55,80000,0,0
2021-01-05 00:00:00,3700.98,3735.73,3679.48,3722.73,63180,0,0
2021-01-06 00:00:00,3723.98,3780.73,3691.73,3754.23,123488,0,0
2021-01-07 00:00:00,3756.57,3809.32,3747.57,3801.32,52902,0,0
2021-01-08 00:00:00,3802.17,3829.21,3780.46,3827.21,61296,0,0
2021-01-11 00:00:00,3820.14,3825.99,3781.74,3797.24,63668,0,0
2021-01-12 00:00:00,3799.83,3812.08,3773.33,3798.33,52244,0,0
2021-01-13 00:00:00,3797.29,3818.79,3782.04,3811.79,38061,0,0
2021-01-14 00:00:00,3812.64,3822.89,3791.39,3794.14,38567,0,0
2021-01-15 00:00:00,3797.78,3802.78,3746.78,3750.53,67243,0,0
2021-01-18 00:00:00,3755.09,3774.34,3748.34,3773.59,21617,0,0
2021-01-19 00:00:00,3774.04,3802.54,3773.54,3798.79,35102,0,0
2021-01-20 00:00:00,3801.37,3857.87,3794.12,3845.87,31867,0,0
2021-01-21 00:00:00,3846.63,3864.88,3841.88,3852.13,31059,0,0
2021-01-22 00:00:00,3852.2,3854.45,3818.7,3835.95,36419,0,0
2021-01-25 00:00:00,3841.03,3858.78,3794.28,3852.78,71750,0,0
2021-01-26 00:00:00,3851.12,3868.12,3827.37,3853.37,49655,0,0
2021-01-27 00:00:00,3852.12,3858.43,3712.43,3739.68,117313,0,0
2021-01-28 00:00:00,3739.9,3828.96,3709.21,3774.71,125944,0,0
2021-01-29 00:00:00,3774.07,3781.82,3690.82,3702.07,160522,0,0
2021-02-01 00:00:00,3697.62,3782.37,3662.87,3769.62,95591,0,0
2021-02-02 00:00:00,3769.33,3841.18,3765.68,3834.18,56402,0,0
2021-02-03 00:00:00,3835.78,3849.03,3813.78,3837.78,50736,0,0
2021-02-04 00:00:00,3837.12,3874.72,3816.97,3872.22,37598,0,0
2021-02-05 00:00:00,3868.78,3893.38,3865.13,3889.63,31559,0,0
2021-02-08 00:00:00,3893.72,3916.32,3890.57,3915.82,27534,0,0
2021-02-09 00:00:00,3914.69,3917.79,3899.79,3915.54,24457,0,0
2021-02-10 00:00:00,3915.97,3932.95,3882.95,3912.2,50542,0,0
2021-02-11 00:00:00,3910.15,3924.25,3888.42,3909.75,43026,0,0
2021-02-12 00:00:00,3908.56,3939.91,3894.16,3939.16,26936,0,0
2021-02-15 00:00:00,3940.36,3955.94,3938.69,3954.69,9467,0,0
2021-02-16 00:00:00,3954.54,3962.79,3922.54,3933.04,41005,0,0
2021-02-17 00:00:00,3932.02,3935.52,3899.77,3930.52,51519,0,0
2021-02-18 00:00:00,3930.78,3939.01,3883.76,3913.51,49970,0,0
2021-02-19 00:00:00,3913.09,3934.09,3893.34,3901.84,45553,0,0
2021-02-22 00:00:00,3908.6,3917.1,3864.35,3880.1,59617,0,0
2021-02-23 00:00:00,3881.38,3898.88,3807.88,3879.13,92027,0,0
2021-02-24 00:00:00,3879.89,3930.64,3854.89,3926.14,85776,0,0
2021-02-25 00:00:00,3925.39,3936.89,3812.89,3822.64,118671,0,0
2021-02-26 00:00:00,3824.51,3860.51,3787.01,3811.01,172318,0,0
2021-03-01 00:00:00,3819.71,3914.21,3814.96,3904.96,62500,0,0
2021-03-02 00:00:00,3905.28,3908.78,3868.03,3869.03,79534,0,0
2021-03-03 00:00:00,3870.19,3900.19,3815.44,3816.69,93408,0,0
2021-03-04 00:00:00,3818.6,3843.85,3722.35,3768.1,170335,0,0
2021-03-05 00:00:00,3768.06,3851.56,3730.31,3842.31,166327,0,0
2021-03-08 00:00:00,3858.27,3880.77,3798.27,3832.52,135625,0,0
2021-03-09 00:00:00,3832.51,3902.76,3828.01,3874.51,82608,0,0
2021-03-10 00:00:00,3877.89,3917.39,3858.39,3908.89,94207,0,0
2021-03-11 00:00:00,3908.96,3959.71,3894.46,3935.71,57063,0,0
2021-03-12 00:00:00,3937.08,3948.08,3910.58,3943.08,61546,0,0
2021-03-15 00:00:00,3946.92,3970.17,3922.67,3966.92,52730,0,0
2021-03-16 00:00:00,3967.33,3980.83,3953.33,3967.33,59225,0,0
2021-03-17 00:00:00,3970.4,3986.4,3938.4,3973.65,68349,0,0
2021-03-18 00:00:00,3974.99,3989.32,3911.7,3921.2,96702,0,0
2021-03-19 00:00:00,3921.2,3933.95,3885.9,3907.4,93475,0,0
2021-03-22 00:00:00,3902.8,3955.0,3895.87,3943.25,67065,0,0
2021-03-23 00:00:00,3943.8,3949.37,3901.3,3914.5,84929,0,0
2021-03-24 00:00:00,3916.35,3942.05,3887.95,3893.2,85783,0,0
2021-03-25 00:00:00,3893.15,3919.4,3853.4,3917.2,118565,0,0
2021-03-26 00:00:00,3917.0,3977.85,3910.82,3972.75,75870,0,0
2021-03-29 00:00:00,3974.65,3981.6,3939.67,3973.55,97037,0,0
2021-03-30 00:00:00,3974.7,3978.52,3944.15,3959.4,71488,0,0
2021-03-31 00:00:00,3958.4,3993.6,3951.47,3975.8,45970,0,0
2021-04-01 00:00:00,3976.85,4024.75,3974.17,4024.25,40214,0,0
2021-04-02 00:00:00,4024.4,4048.25,4022.47,4037.7,7015,0,0
2021-04-05 00:00:00,4039.25,4083.15,4031.07,4080.0,30815,0,0
2021-04-06 00:00:00,4079.1,4085.85,4062.05,4076.35,41223,0,0
2021-04-07 00:00:00,4076.4,4085.55,4066.6,4085.15,37137,0,0
2021-04-08 00:00:00,4083.8,4108.0,4081.87,4107.75,32349,0,0
2021-04-09 00:00:00,4107.3,4130.65,4091.0,4123.1,37971,0,0
2021-04-12 00:00:00,4123.65,4134.0,4114.17,4132.05,42443,0,0
2021-04-13 00:00:00,4131.6,4149.15,4111.05,4143.9,37028,0,0
2021-04-14 00:00:00,4143.2,4152.9,4122.4,4132.4,50021,0,0
2021-04-15 00:00:00,4132.7,4175.65,4128.77,4171.65,38705,0,0
2021-04-16 00:00:00,4171.45,4192.75,4163.52,4182.25,39898,0,0
2021-04-19 00:00:00,4174.05,4184.0,4151.45,4165.95,57195,0,0
2021-04-20 00:00:00,4166.25,4176.57,4119.95,4129.7,61817,0,0
