symbol,type,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,lot_size,profit,exit_reason,session,day_of_week,hour,month,duration_min,r_multiple,rr_ratio_used,risk_amount,balance_after,atr_at_entry,sl_distance_pts,sl_distance_pct
NAS100.,SHORT,2026-02-16 13:10:00,2026-02-16 14:25:00,24799.6,24820.108928571426,24820.108928571426,24748.32767857143,39.3,-806.0,SL,EUROPE,0,13,2026-02,75.0,-1.0,2.5,806.08,15315.66,13.8393,20.51,0.00083
SP500.,SHORT,2026-02-16 13:45:00,2026-02-16 16:10:00,6862.95,6851.23125,6867.6375,6851.23125,124.9,1463.67,TP,EUROPE,0,13,2026-02,145.0,1.816,2.5,806.08,16779.33,3.125,4.69,0.00068
DJ30.,LONG,2026-02-17 09:05:00,2026-02-17 09:25:00,49359.35,49334.921428571426,49334.921428571426,49420.421428571426,34.3,-837.9,SL,EUROPE,1,9,2026-02,20.0,-0.999,2.5,838.97,15941.43,16.2857,24.43,0.00049
DJ30.,LONG,2026-02-17 09:45:00,2026-02-17 10:00:00,49398.35,49466.475,49371.1,49466.475,29.2,1989.25,TP,EUROPE,1,9,2026-02,15.0,2.496,2.5,797.07,17930.68,17.5,27.25,0.00055
SP500.,LONG,2026-02-17 09:35:00,2026-02-17 10:00:00,6811.0,6823.418749999999,6806.0325,6823.418749999999,124.9,1551.1,TP,EUROPE,1,9,2026-02,25.0,1.946,2.5,797.07,19481.78,3.345,4.97,0.00073
SP500.,SHORT,2026-02-17 13:05:00,2026-02-17 13:25:00,6811.2,6816.416785714286,6816.416785714286,6798.158035714285,124.9,-651.58,SL,EUROPE,1,13,2026-02,20.0,-0.669,2.5,974.09,18830.2,3.4779,5.22,0.00077
DJ30.,SHORT,2026-02-17 13:20:00,2026-02-17 13:30:00,49436.35,49467.99285714285,49467.99285714285,49357.24285714286,30.7,-971.44,SL,EUROPE,1,13,2026-02,10.0,-0.997,2.5,974.09,17858.77,22.4286,31.64,0.00064
DJ30.,LONG,2026-02-19 08:25:00,2026-02-19 09:25:00,49692.41,49739.01714285714,49673.76714285715,49739.01714285714,47.8,2227.82,TP,EUROPE,3,8,2026-02,60.0,2.495,2.5,892.94,20086.59,12.4286,18.64,0.00038
NAS100.,SHORT,2026-02-19 11:05:00,2026-02-19 11:45:00,24905.32,24825.619107142855,24937.200357142858,24825.619107142855,31.5,2510.58,TP,EUROPE,3,11,2026-02,40.0,2.5,2.5,1004.33,22597.17,21.2536,31.88,0.00128
SP500.,SHORT,2026-02-19 11:00:00,2026-02-19 11:45:00,6877.74,6861.234642857142,6884.342142857143,6861.234642857142,124.9,2061.52,TP,EUROPE,3,11,2026-02,45.0,2.053,2.5,1004.33,24658.69,4.4014,6.6,0.00096
DJ30.,SHORT,2026-02-19 10:55:00,2026-02-19 12:00:00,49628.41,49532.35642857144,49666.83142857143,49532.35642857144,26.1,2507.0,TP,EUROPE,3,10,2026-02,65.0,2.496,2.5,1004.33,27165.68,25.8143,38.42,0.00077
DJ30.,SHORT,2026-02-20 10:00:00,2026-02-20 10:50:00,49501.41,49519.39214285715,49519.39214285715,49456.45464285714,75.5,-1357.65,SL,EUROPE,4,10,2026-02,50.0,-1.0,2.5,1358.28,25808.03,13.3214,17.98,0.00036
NAS100.,SHORT,2026-02-20 10:20:00,2026-02-20 10:50:00,24858.97,24881.72,24881.72,24802.095,59.7,-1358.18,SL,EUROPE,4,10,2026-02,30.0,-1.0,2.5,1358.28,24449.86,15.0,22.75,0.00092
SP500.,SHORT,2026-02-20 10:15:00,2026-02-20 10:50:00,6881.21,6885.541071428572,6885.541071428572,6870.382321428571,124.9,-540.95,SL,EUROPE,4,10,2026-02,35.0,-0.398,2.5,1358.28,23908.91,2.8007,4.33,0.00063
SP500.,LONG,2026-02-20 11:15:00,2026-02-20 11:35:00,6892.34,6887.092142857143,6887.092142857143,6905.459642857144,124.9,-655.46,SL,EUROPE,4,11,2026-02,20.0,-0.548,2.5,1195.45,23253.45,3.4186,5.25,0.00076
NAS100.,LONG,2026-02-20 11:15:00,2026-02-20 11:40:00,24926.22,24900.755714285715,24900.755714285715,24989.88071428572,46.9,-1194.28,SL,EUROPE,4,11,2026-02,25.0,-0.999,2.5,1195.45,22059.17,16.6429,25.46,0.00102
DJ30.,LONG,2026-02-20 11:00:00,2026-02-20 11:45:00,49536.41,49503.79214285714,49503.79214285714,49617.954642857156,36.6,-1193.81,SL,EUROPE,4,11,2026-02,45.0,-0.999,2.5,1195.45,20865.36,22.0786,32.62,0.00066
DJ30.,SHORT,2026-02-20 12:15:00,2026-02-20 12:55:00,49500.41,49435.16,49526.51,49435.16,39.9,2603.48,TP,EUROPE,4,12,2026-02,40.0,2.495,2.5,1043.27,23468.84,17.4,26.1,0.00053
NAS100.,SHORT,2026-02-20 12:40:00,2026-02-20 13:00:00,24873.47,24820.456607142856,24894.67535714286,24820.456607142856,49.1,2602.96,TP,EUROPE,4,12,2026-02,20.0,2.495,2.5,1043.27,26071.79,14.3036,21.21,0.00085
SP500.,SHORT,2026-02-20 12:00:00,2026-02-20 13:00:00,6880.47,6869.314642857144,6884.932142857143,6869.314642857144,124.9,1393.3,TP,EUROPE,4,12,2026-02,60.0,1.336,2.5,1043.27,27465.1,2.9814,4.46,0.00065
DJ30.,LONG,2026-02-23 08:05:00,2026-02-23 08:50:00,49358.35,49392.90357142857,49344.52857142857,49392.90357142857,99.3,3431.17,TP,EUROPE,0,8,2026-02,45.0,2.499,2.5,1373.25,30896.27,9.2143,13.82,0.00028
SP500.,LONG,2026-02-23 08:10:00,2026-02-23 09:00:00,6866.6,6873.225892857145,6863.949642857143,6873.225892857145,124.9,827.57,TP,EUROPE,0,8,2026-02,50.0,0.603,2.5,1373.25,31723.84,1.9336,2.65,0.00039
NAS100.,LONG,2026-02-23 08:10:00,2026-02-23 09:10:00,24810.75,24854.47767857143,24793.258928571428,24854.47767857143,78.5,3432.62,TP,EUROPE,0,8,2026-02,60.0,2.5,2.5,1373.25,35156.46,11.6607,17.49,0.0007
DJ30.,SHORT,2026-02-24 08:00:00,2026-02-24 08:40:00,48887.37,48903.40571428572,48903.40571428572,48847.280714285705,109.6,-1757.51,SL,EUROPE,1,8,2026-02,40.0,-1.0,2.5,1757.82,33398.95,11.3571,16.04,0.00033
DJ30.,LONG,2026-02-24 09:10:00,2026-02-24 09:35:00,48938.37,48915.077142857146,48915.077142857146,48996.60214285714,71.6,-1667.77,SL,EUROPE,1,9,2026-02,25.0,-0.999,2.5,1669.95,31731.18,15.5286,23.29,0.00048
DJ30.,SHORT,2026-02-24 10:05:00,2026-02-24 10:20:00,48857.37,48881.209285714285,48881.209285714285,48797.7717857143,66.5,-1585.31,SL,EUROPE,1,10,2026-02,15.0,-0.999,2.5,1586.56,30145.87,16.8929,23.84,0.00049
