time,open,high,low,close,tick_volume,spread,real_volume
2025-07-10 20:35:00,22853.4,22854.9,22842.65,22853.4,625,40,0
2025-07-10 20:40:00,22853.4,22860.15,22851.15,22854.4,532,40,0
2025-07-10 20:45:00,22854.65,22856.9,22845.9,22854.65,556,40,0
2025-07-10 20:50:00,22854.4,22866.15,22854.4,22864.4,635,40,0
2025-07-10 20:55:00,22864.4,22869.4,22861.9,22865.15,570,40,0
2025-07-10 21:00:00,22865.15,22868.4,22856.9,22864.65,637,40,0
2025-07-10 21:05:00,22864.9,22874.65,22864.15,22868.65,634,40,0
2025-07-10 21:10:00,22868.65,22872.15,22864.4,22865.9,512,40,0
2025-07-10 21:15:00,22865.9,22876.9,22863.15,22872.4,566,40,0
2025-07-10 21:20:00,22872.65,22879.15,22866.15,22868.4,637,40,0
2025-07-10 21:25:00,22868.4,22870.4,22858.9,22859.65,581,40,0
2025-07-10 21:30:00,22859.65,22866.4,22858.4,22861.4,719,40,0
2025-07-10 21:35:00,22861.4,22866.15,22856.65,22858.9,601,40,0
2025-07-10 21:40:00,22859.15,22864.9,22853.15,22853.65,494,40,0
2025-07-10 21:45:00,22853.15,22863.9,22850.65,22861.9,525,40,0
2025-07-10 21:50:00,22861.9,22862.65,22853.4,22860.65,530,40,0
2025-07-10 21:55:00,22860.9,22869.15,22858.4,22863.9,564,40,0
2025-07-10 22:00:00,22863.15,22870.65,22860.15,22864.15,670,40,0
2025-07-10 22:05:00,22864.15,22867.65,22858.65,22866.9,568,40,0
2025-07-10 22:10:00,22866.9,22869.65,22859.65,22860.9,541,40,0
2025-07-10 22:15:00,22860.9,22865.65,22857.65,22860.65,555,40,0
2025-07-10 22:20:00,22860.65,22864.15,22857.9,22859.65,504,40,0
2025-07-10 22:25:00,22859.4,22863.65,22852.4,22855.65,592,40,0
2025-07-10 22:30:00,22855.4,22861.4,22849.15,22860.9,665,40,0
2025-07-10 22:35:00,22860.9,22864.65,22859.4,22863.15,500,40,0
2025-07-10 22:40:00,22863.15,22868.9,22859.65,22860.15,592,40,0
2025-07-10 22:45:00,22859.15,22861.15,22847.4,22851.15,735,40,0
2025-07-10 22:50:00,22845.65,22851.15,22817.15,22834.65,1374,40,0
2025-07-10 22:55:00,22837.4,22846.9,22834.65,22842.15,1106,40,0
2025-07-10 23:00:00,22841.65,22843.4,22833.9,22835.9,677,40,0
2025-07-10 23:05:00,22835.65,22842.65,22833.15,22836.65,271,40,0
2025-07-10 23:10:00,22836.65,22836.9,22824.4,22829.9,430,40,0
2025-07-10 23:15:00,22830.15,22837.9,22829.65,22831.9,299,40,0
2025-07-10 23:20:00,22831.65,22834.65,22831.15,22834.15,155,40,0
2025-07-10 23:25:00,22834.15,22835.4,22830.15,22835.15,145,40,0
2025-07-10 23:30:00,22835.15,22843.15,22833.9,22843.15,168,40,0
2025-07-10 23:35:00,22843.15,22849.4,22842.9,22849.4,141,40,0
2025-07-10 23:40:00,22849.4,22851.15,22844.9,22846.15,166,40,0
2025-07-10 23:45:00,22845.65,22846.9,22839.4,22843.65,205,40,0
2025-07-10 23:50:00,22843.65,22843.65,22835.9,22835.9,130,40,0
2025-07-10 23:55:00,22835.65,22837.65,22834.65,22836.25,132,40,0
2025-07-11 01:00:00,22836.6,22852.0,22835.1,22851.75,317,40,0
2025-07-11 01:05:00,22852.75,22855.0,22849.25,22853.75,233,40,0
2025-07-11 01:10:00,22854.5,22861.75,22853.25,22858.25,197,40,0
2025-07-11 01:15:00,22858.0,22864.25,22857.75,22862.75,143,40,0
2025-07-11 01:20:00,22863.0,22864.5,22858.0,22860.25,171,40,0
2025-07-11 01:25:00,22860.25,22862.0,22858.5,22859.0,100,40,0
2025-07-11 01:30:00,22859.0,22859.25,22853.25,22856.0,123,40,0
2025-07-11 01:35:00,22855.75,22857.5,22852.0,22854.25,129,40,0
2025-07-11 01:40:00,22853.25,22859.25,22852.75,22857.75,98,40,0
2025-07-11 01:45:00,22858.0,22863.5,22856.5,22862.25,106,40,0
2025-07-11 01:50:00,22862.0,22868.25,22861.25,22867.25,113,40,0
2025-07-11 01:55:00,22867.25,22868.0,22863.5,22867.0,114,40,0
2025-07-11 02:00:00,22867.25,22874.5,22866.75,22872.25,159,40,0
2025-07-11 02:05:00,22871.75,22872.5,22868.75,22872.0,91,40,0
2025-07-11 02:10:00,22871.75,22873.5,22864.5,22868.75,136,40,0
2025-07-11 02:15:00,22868.5,22868.75,22863.25,22863.75,102,40,0
2025-07-11 02:20:00,22864.0,22865.25,22861.25,22863.25,106,40,0
2025-07-11 02:25:00,22863.25,22863.5,22861.0,22862.75,78,40,0
2025-07-11 02:30:00,22863.25,22871.5,22863.0,22865.0,154,40,0
2025-07-11 02:35:00,22865.0,22865.0,22859.75,22863.5,107,40,0
2025-07-11 02:40:00,22863.5,22864.75,22861.5,22862.0,94,40,0
2025-07-11 02:45:00,22862.25,22870.75,22861.5,22869.75,180,40,0
2025-07-11 02:50:00,22871.0,22877.25,22870.25,22876.25,165,40,0
2025-07-11 02:55:00,22876.25,22877.5,22872.75,22873.5,137,40,0
2025-07-11 03:00:00,22874.0,22874.5,22852.5,22857.75,679,40,0
2025-07-11 03:05:00,22858.0,22858.0,22832.5,22845.25,786,40,0
2025-07-11 03:10:00,22845.5,22846.5,22830.0,22831.75,610,40,0
2025-07-11 03:15:00,22831.75,22835.25,22786.0,22789.25,1045,40,0
2025-07-11 03:20:00,22789.75,22790.25,22732.5,22732.5,1177,40,0
2025-07-11 03:25:00,22732.5,22737.0,22656.25,22696.75,1484,40,0
2025-07-11 03:30:00,22697.0,22722.75,22659.5,22708.0,1396,40,0
2025-07-11 03:35:00,22708.25,22728.0,22706.25,22708.5,939,40,0
2025-07-11 03:40:00,22708.5,22716.5,22690.5,22691.5,980,40,0
2025-07-11 03:45:00,22691.25,22721.25,22680.9,22716.0,978,40,0
2025-07-11 03:50:00,22715.75,22722.1,22694.6,22696.1,777,40,0
2025-07-11 03:55:00,22696.1,22748.35,22688.35,22710.85,1244,40,0
2025-07-11 04:00:00,22712.1,22721.85,22695.1,22699.35,864,40,0
2025-07-11 04:05:00,22699.6,22725.1,22696.85,22723.35,761,40,0
2025-07-11 04:10:00,22723.35,22732.85,22718.6,22732.35,519,40,0
2025-07-11 04:15:00,22732.6,22742.1,22731.6,22735.85,506,40,0
2025-07-11 04:20:00,22736.1,22764.1,22736.1,22760.85,531,40,0
2025-07-11 04:25:00,22761.35,22764.6,22755.85,22763.1,415,40,0
2025-07-11 04:30:00,22763.35,22766.1,22756.85,22762.1,485,40,0
2025-07-11 04:35:00,22762.1,22764.35,22758.85,22763.6,311,40,0
2025-07-11 04:40:00,22763.85,22769.1,22757.85,22763.6,378,40,0
2025-07-11 04:45:00,22763.6,22764.1,22752.1,22754.85,381,40,0
2025-07-11 04:50:00,22755.1,22759.1,22751.6,22752.35,321,40,0
2025-07-11 04:55:00,22752.1,22758.6,22747.85,22755.85,356,40,0
2025-07-11 05:00:00,22755.1,22761.35,22754.6,22754.85,431,40,0
2025-07-11 05:05:00,22754.85,22760.1,22750.35,22751.6,308,40,0
2025-07-11 05:10:00,22751.35,22756.85,22749.6,22751.1,253,40,0
2025-07-11 05:15:00,22752.1,22757.85,22748.85,22750.35,284,40,0
2025-07-11 05:20:00,22750.6,22753.85,22747.6,22751.1,235,40,0
2025-07-11 05:25:00,22751.1,22758.35,22749.6,22757.85,203,40,0
2025-07-11 05:30:00,22757.6,22770.35,22752.85,22770.1,369,40,0
2025-07-11 05:35:00,22770.1,22775.85,22767.6,22775.6,280,40,0
2025-07-11 05:40:00,22775.1,22775.85,22763.35,22763.6,250,40,0
2025-07-11 05:45:00,22763.1,22767.35,22761.85,22767.35,196,40,0
