time,open,high,low,close,tick_volume,spread,real_volume
2025-07-10 20:35:00,44768.7,44775.7,44752.7,44754.7,292,60,0
2025-07-10 20:40:00,44754.7,44764.7,44750.7,44758.7,231,60,0
2025-07-10 20:45:00,44760.7,44761.7,44748.7,44752.7,214,60,0
2025-07-10 20:50:00,44752.7,44802.7,44751.7,44800.7,284,60,0
2025-07-10 20:55:00,44800.7,44803.7,44773.7,44777.7,306,60,0
2025-07-10 21:00:00,44777.7,44781.7,44761.7,44766.7,280,60,0
2025-07-10 21:05:00,44767.7,44783.35,44762.7,44772.7,281,60,0
2025-07-10 21:10:00,44773.7,44786.7,44771.7,44774.7,226,60,0
2025-07-10 21:15:00,44773.7,44789.7,44772.7,44787.7,321,60,0
2025-07-10 21:20:00,44787.7,44797.7,44785.7,44795.7,238,60,0
2025-07-10 21:25:00,44795.7,44806.7,44787.7,44787.7,274,60,0
2025-07-10 21:30:00,44787.7,44795.7,44752.7,44754.7,307,60,0
2025-07-10 21:35:00,44754.7,44762.7,44745.7,44759.7,293,60,0
2025-07-10 21:40:00,44757.7,44771.7,44748.7,44767.7,257,60,0
2025-07-10 21:45:00,44767.7,44769.7,44743.7,44748.7,244,60,0
2025-07-10 21:50:00,44748.7,44748.7,44728.7,44734.7,281,60,0
2025-07-10 21:55:00,44733.7,44738.7,44715.7,44734.7,246,60,0
2025-07-10 22:00:00,44732.7,44753.7,44728.7,44752.7,286,60,0
2025-07-10 22:05:00,44751.7,44760.7,44738.7,44756.7,293,60,0
2025-07-10 22:10:00,44756.7,44761.7,44750.7,44754.7,248,60,0
2025-07-10 22:15:00,44755.7,44758.7,44743.7,44750.7,279,60,0
2025-07-10 22:20:00,44750.7,44754.7,44734.7,44735.7,292,60,0
2025-07-10 22:25:00,44735.7,44746.7,44720.7,44727.7,281,60,0
2025-07-10 22:30:00,44727.7,44747.7,44726.7,44747.7,326,60,0
2025-07-10 22:35:00,44747.7,44753.7,44738.7,44750.7,259,60,0
