time,open,high,low,close,tick_volume,spread,real_volume
2025-07-10 20:35:00,6291.3,6291.8,6290.3,6290.55,71,35,0
2025-07-10 20:40:00,6290.55,6292.05,6290.3,6291.3,51,35,0
2025-07-10 20:45:00,6291.55,6291.8,6289.55,6290.8,55,35,0
2025-07-10 20:50:00,6290.8,6295.3,6290.8,6295.05,104,35,0
2025-07-10 20:55:00,6295.05,6295.3,6293.05,6293.55,70,35,0
2025-07-10 21:00:00,6293.55,6294.8,6292.3,6293.55,66,35,0
2025-07-10 21:05:00,6293.55,6295.3,6293.3,6294.05,66,35,0
2025-07-10 21:10:00,6294.05,6294.55,6293.3,6293.8,51,35,0
2025-07-10 21:15:00,6293.55,6296.05,6293.55,6295.3,73,35,0
2025-07-10 21:20:00,6295.3,6296.3,6294.55,6294.8,63,35,0
2025-07-10 21:25:00,6294.8,6295.55,6293.55,6293.8,75,35,0
2025-07-10 21:30:00,6293.55,6294.3,6291.55,6291.8,93,35,0
2025-07-10 21:35:00,6291.8,6292.55,6291.05,6291.55,75,35,0
2025-07-10 21:40:00,6291.55,6292.8,6290.8,6291.05,65,35,0
2025-07-10 21:45:00,6291.05,6291.8,6290.05,6290.8,62,35,0
2025-07-10 21:50:00,6290.8,6290.8,6288.8,6289.8,79,35,0
2025-07-10 21:55:00,6289.8,6290.8,6288.55,6290.3,69,35,0
2025-07-10 22:00:00,6290.05,6291.8,6289.55,6291.05,93,35,0
2025-07-10 22:05:00,6291.05,6292.3,6289.8,6292.05,73,35,0
2025-07-10 22:10:00,6292.05,6292.55,6291.05,6291.8,54,35,0
2025-07-10 22:15:00,6291.8,6292.8,6291.05,6292.05,59,35,0
2025-07-10 22:20:00,6292.05,6292.8,6290.55,6290.8,61,35,0
2025-07-10 22:25:00,6290.55,6291.8,6288.55,6289.3,75,35,0
2025-07-10 22:30:00,6289.3,6291.55,6288.8,6291.55,93,35,0
2025-07-10 22:35:00,6291.55,6292.3,6290.8,6292.05,56,35,0
2025-07-10 22:40:00,6292.05,6294.05,6292.05,6292.3,72,35,0
2025-07-10 22:45:00,6292.05,6292.3,6287.05,6288.55,148,35,0
2025-07-10 22:50:00,6286.3,6288.3,6279.3,6282.3,364,35,0
2025-07-10 22:55:00,6283.05,6287.05,6282.05,6286.05,269,35,0
2025-07-10 23:00:00,6285.8,6286.05,6283.3,6283.55,124,35,0
2025-07-10 23:05:00,6283.55,6285.3,6283.3,6283.3,26,35,0
2025-07-10 23:10:00,6283.05,6283.05,6280.3,6281.05,58,35,0
2025-07-10 23:15:00,6281.05,6283.05,6281.05,6281.8,36,35,0
2025-07-10 23:20:00,6281.8,6282.05,6281.55,6282.05,17,35,0
2025-07-10 23:25:00,6282.05,6282.55,6281.3,6282.55,19,35,0
2025-07-10 23:30:00,6282.3,6284.55,6282.3,6284.55,23,35,0
2025-07-10 23:35:00,6284.55,6285.55,6284.3,6285.55,26,35,0
2025-07-10 23:40:00,6285.55,6286.05,6284.55,6284.55,26,35,0
2025-07-10 23:45:00,6284.55,6284.8,6283.3,6283.8,29,35,0
2025-07-10 23:50:00,6283.8,6283.8,6282.3,6282.3,15,35,0
2025-07-10 23:55:00,6282.3,6282.55,6282.05,6282.2,18,35,0
2025-07-11 01:00:00,6283.15,6286.5,6282.9,6286.25,157,35,0
2025-07-11 01:05:00,6286.5,6287.25,6286.0,6286.75,78,35,0
2025-07-11 01:10:00,6287.0,6288.5,6286.5,6287.5,63,35,0
2025-07-11 01:15:00,6287.5,6289.0,6287.5,6288.75,21,35,0
2025-07-11 01:20:00,6288.75,6289.0,6287.5,6288.0,34,35,0
2025-07-11 01:25:00,6288.0,6288.5,6287.75,6288.0,27,35,0
2025-07-11 01:30:00,6288.0,6288.0,6286.5,6287.0,30,35,0
2025-07-11 01:35:00,6287.0,6287.5,6286.5,6287.0,21,35,0
2025-07-11 01:40:00,6287.0,6287.75,6286.75,6287.5,21,35,0
2025-07-11 01:45:00,6287.5,6288.5,6287.25,6288.25,20,35,0
2025-07-11 01:50:00,6288.25,6290.0,6288.0,6289.75,21,35,0
2025-07-11 01:55:00,6289.75,6290.0,6289.0,6289.75,15,35,0
2025-07-11 02:00:00,6289.75,6291.0,6289.75,6290.75,28,35,0
2025-07-11 02:05:00,6290.75,6290.75,6290.25,6290.75,17,35,0
2025-07-11 02:10:00,6290.75,6291.13,6289.5,6290.0,32,35,0
2025-07-11 02:15:00,6290.0,6290.0,6289.0,6289.0,18,35,0
2025-07-11 02:20:00,6289.0,6289.25,6288.5,6289.0,17,35,0
2025-07-11 02:25:00,6289.0,6289.12,6288.75,6289.0,14,35,0
2025-07-11 02:30:00,6289.25,6290.5,6289.25,6289.5,32,35,0
2025-07-11 02:35:00,6289.5,6289.5,6288.5,6289.25,19,35,0
2025-07-11 02:40:00,6289.0,6289.5,6289.0,6289.0,11,35,0
2025-07-11 02:45:00,6289.12,6290.5,6288.75,6290.25,47,35,0
2025-07-11 02:50:00,6290.5,6292.0,6290.5,6291.75,33,35,0
2025-07-11 02:55:00,6291.75,6292.0,6291.25,6291.25,23,35,0
2025-07-11 03:00:00,6291.25,6291.5,6286.75,6287.75,197,35,0
2025-07-11 03:05:00,6287.75,6287.75,6281.75,6284.5,261,35,0
2025-07-11 03:10:00,6284.5,6285.0,6280.75,6281.25,201,35,0
2025-07-11 03:15:00,6281.25,6282.0,6271.0,6271.75,410,35,0
2025-07-11 03:20:00,6272.0,6272.0,6258.75,6258.75,474,35,0
2025-07-11 03:25:00,6258.62,6259.75,6246.0,6254.0,783,35,0
2025-07-11 03:30:00,6254.0,6260.55,6245.87,6257.25,688,35,0
2025-07-11 03:35:00,6257.25,6261.0,6255.0,6255.25,293,35,0
2025-07-11 03:40:00,6255.25,6256.3,6250.3,6250.3,317,35,0
2025-07-11 03:45:00,6250.3,6258.05,6248.05,6256.55,309,35,0
2025-07-11 03:50:00,6256.55,6257.55,6250.75,6251.0,205,35,0
2025-07-11 03:55:00,6251.0,6263.87,6249.0,6254.3,643,35,0
